Disease,Drug_Family,Drug_Name,Drug_URL,Disease_URL
AADC Deficiency,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/kebilidi.html,https://www.drugs.com/condition/aadc-deficiency.html
Abacterial cystitis (Alkylating Agent Cystitis),General/Unspecified,sodium bicarbonate,https://www.drugs.com/mtm/sodium-bicarbonate.html,https://www.drugs.com/condition/alkylating-agent-cystitis.html
Abacterial cystitis (Alkylating Agent Cystitis),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/sodium-bicarbonate.html,https://www.drugs.com/condition/alkylating-agent-cystitis.html
Abacterial cystitis (Alkylating Agent Cystitis),General/Unspecified,citric acid/sodium citrate,https://www.drugs.com/mtm/citric-acid-and-sodium-citrate.html,https://www.drugs.com/condition/alkylating-agent-cystitis.html
Abdominal bloating (Abdominal Distension),General/Unspecified,bethanechol,https://www.drugs.com/mtm/bethanechol.html,https://www.drugs.com/condition/abdominal-distension.html
Abdominal bloating (Abdominal Distension),General/Unspecified,Prescribing Information,https://www.drugs.com/pro/bethanechol.html,https://www.drugs.com/condition/abdominal-distension.html
Abdominal bloating (Abdominal Distension),General/Unspecified,pamabrom,https://www.drugs.com/mtm/pamabrom.html,https://www.drugs.com/condition/abdominal-distension.html
Abdominal bloating (Abdominal Distension),General/Unspecified,Urecholine,https://www.drugs.com/mtm/urecholine.html,https://www.drugs.com/condition/abdominal-distension.html
Abdominal bloating (Abdominal Distension),General/Unspecified,Aqua-Ban,https://www.drugs.com/mtm/aqua-ban.html,https://www.drugs.com/condition/abdominal-distension.html
Abdominal Distension Prior to Abdominal X-ray,General/Unspecified,vasopressin,https://www.drugs.com/mtm/vasopressin.html,https://www.drugs.com/condition/abdominal-distension-prior-to-abdominal-x-ray.html
Abdominal Distension Prior to Abdominal X-ray,General/Unspecified,Prescribing Information,https://www.drugs.com/pro/vasopressin.html,https://www.drugs.com/condition/abdominal-distension-prior-to-abdominal-x-ray.html
Abdominal Distension Prior to Abdominal X-ray,General/Unspecified,Vasostrict,https://www.drugs.com/mtm/vasostrict.html,https://www.drugs.com/condition/abdominal-distension-prior-to-abdominal-x-ray.html
