Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Abdominal aortic aneurysm,aneurisma aórtico abdominal,Physical examination; review of medical and family history; abdominal ultrasound (most common); abdominal CT scan; abdominal MRI.,Frequent health checkups and imaging (medical monitoring or watchful waiting); Surgery (endovascular repair; open surgery),Abdominal ultrasound; Abdominal CT scan; Abdominal MRI; Chest X-ray,Information not found
Absence seizure,crisis de ausencia,"Diagnosis involves detailed description of seizures by the healthcare professional; physical exam; electroencephalography (EEG), which may be triggered by hyperventilation; brain scans (MRI) to rule out other conditions.  Changes in brainwave patterns during an EEG are key to diagnosis.",Antiseizure medication; Ketogenic diet; Modified Atkins diet; Glycemic index diet,Electroencephalography (EEG); Brain magnetic resonance imaging (MRI),Ethosuximide (Zarontin); Valproic acid; Lamotrigine (Lamictal)
Acanthosis nigricans,acantosis nigricans,Acanthosis nigricans is detected during a skin exam; a skin biopsy may be performed for microscopic examination; other tests may be needed to determine the underlying cause.,Skin creams; special soaps; medications; laser therapy; weight loss (if obesity is a cause); discontinuation of medications or supplements (if implicated); surgery to remove tumor (if cancerous tumor is the cause),Skin biopsy; Other tests to determine underlying cause (unspecified),Information not found
Achalasia,acalasia,Achalasia is diagnosed through a combination of clinical symptoms and diagnostic testing.  Diagnostic tests are used to confirm the diagnosis and differentiate achalasia from other conditions with similar symptoms.  Esophageal manometry is the most helpful test to determine the type of swallowing condition.,Pneumatic dilation; OnabotulinumtoxinA (Botox) injection; Heller myotomy; Peroral endoscopic myotomy (POEM); Fundoplication; Medication (nitroglycerin; nifedipine),Esophageal manometry; X-rays of the upper digestive system (barium swallow); Upper endoscopy; Functional luminal imaging probe (FLIP) technology,Nitroglycerin; Nifedipine; OnabotulinumtoxinA (Botox)
Achilles tendinitis,tendinitis de aquiles,"Physical exam to assess pain, tenderness, swelling, and foot/ankle movement; Imaging tests may be used to rule out other conditions and visualize the tendon.","Self-care (RICE); Pain medications; Nitroglycerin patch; Physical therapy (exercises, orthotic devices); Extracorporeal shock wave therapy (ESWT); Platelet-rich plasma (PRP) injections; Ultrasound-guided tenotomy; Ultrasound-guided tendon scraping; Surgery",X-rays; Ultrasound; MRI,Ibuprofen; Naproxen sodium; Prescription medications for inflammation and pain relief; Nitroglycerin patch
Achilles tendon rupture,ruptura del tendón de aquiles,"Physical exam assessing tenderness, swelling, and a palpable gap in the tendon;  evaluation of plantar flexion by squeezing the calf muscle; ultrasound or MRI scan if the extent of the rupture is unclear.","Nonsurgical treatment (rest, ice, over-the-counter pain relievers, immobilization with a walking boot or cast); Surgery (incision and stitching of the tendon, possibly reinforced with other tendons; minimally invasive options available) ; Physical therapy (including functional rehabilitation).",Physical examination; Ultrasound; MRI scan,Over-the-counter pain relievers
ACL injury,lesión del ligamento cruzado anterior,"Physical exam assessing knee swelling, tenderness, and range of motion; diagnosis often made based on physical exam alone, but further tests may be needed to rule out other causes and determine injury severity.","Rehabilitative therapy (including exercises, bracing, and crutches); Surgery (ACL reconstruction using a tendon graft)",X-rays; Magnetic resonance imaging (MRI); Ultrasound,Information not found
Acne,acné,"Diagnosis of acne is primarily clinical, based on the presence of comedones (blackheads and whiteheads), papules, pustules, nodules, and cysts.  Severity is assessed based on the number and type of lesions.",Topical medications; Oral medications; Light therapy; Chemical peel; Drainage and extraction; Steroid injection,Information not found,"tretinoin (Avita, Retin-A); adapalene (Differin); tazarotene (Tazorac, Avage); clindamycin with benzoyl peroxide (Benzaclin, Duac); erythromycin with benzoyl peroxide (Benzamycin); azelaic acid (Azelex, Finacea); salicylic acid; dapsone (Aczone); minocycline; doxycycline; erythromycin; azithromycin; Ortho Tri-Cyclen 21; Yaz; spironolactone (Aldactone); isotretinoin (Amnesteem, Claravis); benzoyl peroxide"
Acoustic neuroma,neuroma acústico,"A thorough physical exam, including an ear exam;  Symptoms assessment; Hearing test (audiometry); Magnetic resonance imaging (MRI) with contrast dye; CT scan (if MRI unavailable or contraindicated).  Early diagnosis is difficult due to slow symptom onset and overlap with other ear conditions.","Monitoring; Surgery; Stereotactic radiosurgery (Gamma Knife, CyberKnife); Fractionated stereotactic radiotherapy (SRT); Proton beam therapy; Supportive therapy (balance therapy, physical therapy, occupational therapy, hearing assistance, cochlear implants).",Hearing test (audiometry); Magnetic resonance imaging (MRI) with contrast dye; CT scan,Information not found
Acromegaly,Acromegalia,"Diagnosis involves reviewing health history and physical examination;  high IGF-1 level in blood test suggests high growth hormone, a clue for acromegaly; growth hormone suppression test measures growth hormone levels before and after glucose intake (low levels after glucose in non-acromegaly patients); imaging tests (MRI) pinpoint pituitary tumors; X-rays of hands and feet check for bone growth.",Surgery to remove pituitary tumor; Medication to lower hormone levels; Radiation to shrink tumor,IGF-1 measurement; Growth hormone suppression test; Magnetic resonance imaging (MRI); X-rays of hands and feet,"octreotide (Mycapssa, Sandostatin); lanreotide (Somatuline Depot); cabergoline; bromocriptine (Cycloset, Parlodel); pegvisomant (Somavert)"
Actinic keratosis,Queratosis actínica,Visual examination by a healthcare provider; Skin biopsy if there is doubt.,Observation (may disappear on its own); Medicated cream or gel; Freezing (cryotherapy); Scraping (curettage); Electrosurgery; Laser therapy; Photodynamic therapy,Skin biopsy,"fluorouracil (Carac, Efudex); imiquimod (Aldara, Zyclara); diclofenac"
Acute coronary syndrome,síndrome coronario agudo,"Acute coronary syndrome is usually diagnosed in a hospital using a combination of patient symptoms, medical history, and diagnostic tests such as electrocardiogram (ECG or EKG), blood tests to check for heart proteins, and potentially coronary angiogram, echocardiogram, myocardial perfusion imaging, or CT angiogram to assess blood flow and artery blockages.  The tests help classify the condition as a heart attack or unstable angina.",Medicine; Angioplasty and stenting; Coronary artery bypass grafting (CABG),Electrocardiogram (ECG or EKG); Blood tests; Coronary angiogram; Echocardiogram; Myocardial perfusion imaging; CT angiogram; Exercise stress test,"Nitroglycerin; Aspirin; Clopidogrel (Plavix); Prasugrel (Effient); Metoprolol (Lopressor, Toprol-XL); Nadolol; Lisinopril (Qbrelis, Zestril); Benazepril (Lotensin); Irbesartan (Avapro); Losartan (Cozaar); Atorvastatin (Lipitor, Atorvaliq); Simvastatin (Zocor, Flolipid); Ezetimibe (Zetia); Clot busters (Thrombolytics)"
Acute flaccid myelitis (AFM),Mielitis flácida aguda (AFM),"Diagnosis begins with a thorough medical history and physical exam focusing on weakness, poor muscle tone, and decreased reflexes.  Further investigation may include nervous system examination; MRI of the brain and spinal cord; lab tests on cerebrospinal fluid, respiratory fluid, blood, and stool; and nerve conduction studies.  Differential diagnosis from other neurological conditions like Guillain-Barre syndrome is crucial.",Physical therapy; Occupational therapy; Immunoglobulin treatment; Corticosteroids; Antiviral drugs; Plasma exchange; Nerve and muscle transfer surgeries (in some cases),"Nervous system examination; Magnetic resonance imaging (MRI); Lab tests (cerebrospinal fluid, respiratory fluid, blood, stool); Nerve conduction studies; Electromyography (EMG); Lumbar puncture (spinal tap)",Immunoglobulin; Corticosteroids; Antiviral drugs
